# Google_Product_Taxonomy_Version: 2015-02-19
Adultos
Alimentos, bebidas e tabaco > Alimentos > Condimentos e molhos > Molhos agridoces
Alimentos, bebidas e tabaco > Alimentos > Condimentos e molhos > Molhos brancos e béchamel
Alimentos, bebidas e tabaco > Alimentos > Condimentos e molhos > Molhos para massas
Alimentos, bebidas e tabaco > Alimentos > Condimentos e molhos > Molhos para saladas
Alimentos, bebidas e tabaco > Alimentos > Condimentos e molhos > Molhos relish e chutney
Alimentos, bebidas e tabaco > Alimentos > Condimentos e molhos > Mostarda
Alimentos, bebidas e tabaco > Alimentos > Condimentos e molhos > Taine
Alimentos, bebidas e tabaco > Alimentos > Doces e chocolates
Alimentos, bebidas e tabaco > Alimentos > Frutas cristalizadas ou cobertas de chocolate
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Caldas de frutas
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Feijão em lata
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Feijão seco
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas em conserva e enlatadas
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Abacates
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Abacaxis
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Abricó-do-pará
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Anonas
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Atemoias
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Babacos
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Bagas
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Bananas
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Camapu
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Caquis
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Carambolas
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Cocos
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Feijoas
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Figos
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Fruta-pinha
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Fruta-pão
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Frutas com caroço
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Frutas com caroço > Ameixas
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Frutas com caroço > Cerejas
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Frutas com caroço > Damascos
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Frutas com caroço > Mangas
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Frutas com caroço > Plumcots
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Frutas com caroço > Pêssegos e nectarinas
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Frutas cítricas
